Title,Doi,Publisher Name,Journal Title,License,Total Amount,Payment Year,Payment Date,Institution,Institution grid id
Combined Photosensitization and Vaccination Enable CD8 T-Cell Immunity and Tumor Suppression Independent of CD4 T-Cell Help,10.3389/fimmu.2019.01548,Frontiers Media,Frontiers in Immunology,CC-BY 4.0,2213.06,2022,2022-01-24,University of Zurich,grid.7400.3
An extractive electrospray ionization time-of-flight mass spectrometer (EESI-TOF) for online measurement of atmospheric aerosol particles,10.5194/amt-12-4867-2019,Copernicus Publications,Atmospheric Measurement Techniques,CC-BY 4.0,1832.332,2023,2023-05-08,D5D66F5B-2A30-44D7-9C75-365E3A8B9F80,NA
Structure and functional implications of WYL domain-containing bacterial DNA damage response regulator PafBC,10.1038/s41467-019-12567-x,Nature Research,Nature Communications,CC-BY 4.0,5150.1,2022,2022-09-15,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Bayesian regression explains how human participants handle parameter uncertainty,10.1371/journal.pcbi.1007886,Public Library of Science,PLoS Computational Biology,CC-BY 4.0,2262.879,2022,2022-08-04,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Deep learning-guided joint attenuation and scatter correction in multitracer neuroimaging studies,10.1002/hbm.25039,Wiley Open Access,Human Brain Mapping,CC-BY-NC,3157.6,2023,2023-09-25,ORG1032151,grid.8591.5
The Diabetes Gene JAZF1 Is Essential for the Homeostatic Control of Ribosome Biogenesis and Function in Metabolic Stress,10.1016/j.celrep.2020.107846,Cell Press,Cell Reports,CC-BY-NC-ND,3994.172,2022,2022-04-07,9EBB7B91-98A3-4396-9724-4C072F10DF81,grid.5801.c
Ensemble programme for early intervention in informal caregivers of psychiatric adult patients: a protocol for a randomised controlled trial,10.1136/bmjopen-2020-038781,BMJ Publishing Group,BMJ Open,CC-BY-NC,1641.7,2023,2023-12-11,FA8B0BFE-769A-4C56-807A-34BE1C8ADF0B,grid.466216.1
Computational imaging during video game playing shows dynamic synchronization of cortical and subcortical networks of emotions,10.1371/journal.pbio.3000900,Public Library of Science,PLoS Biology,CC-BY 4.0,2961.53,2023,2023-12-11,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Never and under cervical cancer screening in Switzerland and Belgium: trends and inequalities,10.1186/s12889-020-09619-z,BioMed Central,BMC Public Health,CC-BY 4.0,2223.54,2022,2022-09-01,ORG1032151,grid.8591.5
Genetic risk factors predict disease progression in Crohn’s disease patients of the Swiss inflammatory bowel disease cohort,10.1177/1756284820959252,SAGE Publications,Therapeutic Advances in Gastroenterology,CC-BY-NC,1645.907,2023,2023-04-25,ORG63170,grid.7400.3
Brain functional connectivity dynamics at rest in the aftermath of affective and cognitive challenges,10.1002/hbm.25277,Wiley Open Access,Human Brain Mapping,CC-BY-NC-ND,2813.349,2023,2023-09-28,ORG1032151,grid.8591.5
A functional connection between translation elongation and protein folding at the ribosome exit tunnel in <i>Saccharomyces cerevisiae<\/i>,10.1093/nar/gkaa1200,Oxford University Press,Nucleic Acids Research,CC-BY 4.0,2887.944,2022,2022-02-03,af23ed63-849f-487c-a824-6dd3b0c1d6f0,grid.8534.a
Uncertainties in the Seismic Assessment of Historical Masonry Buildings,10.3390/app11052280,MDPI,Applied Sciences,CC-BY 4.0,1615.5,2022,2022-04-07,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Heterologous arenavirus vector prime-boost overrules self-tolerance for efficient tumor-specific CD8 T cell attack,10.1016/j.xcrm.2021.100209,Cell Press,Cell Reports Medicine,CC-BY 4.0,5246.34,2023,2023-05-30,ORG45610,grid.6612.3
Neurocognitive processing efficiency for discriminating human non-alarm rather than alarm scream calls,10.1371/journal.pbio.3000751,Public Library of Science,PLoS Biology,CC-BY 4.0,2864.47,2022,2022-04-07,ORG1032151,grid.8591.5
Paraburkholderia phymatum Homocitrate Synthase NifV Plays a Key Role for Nitrogenase Activity during Symbiosis with Papilionoids and in Free-Living Growth Conditions,10.3390/cells10040952,MDPI,Cells,CC-BY 4.0,1723.2,2022,2022-11-29,ORG63170,grid.7400.3
Mechanisms of neuro-robotic prosthesis operation in leg amputees,10.1126/sciadv.abd8354,American Association for the Advancement of Science,Science Advances,CC-BY 4.0,3520.1,2022,2022-04-07,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Transient and Efficient Vascular Permeability Window for Adjuvant Drug Delivery Triggered by Microbeam Radiation,10.3390/cancers13092103,MDPI,Cancers,CC-BY 4.0,1895.52,2022,2022-11-23,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
"Attitudes Toward COVID-19 Vaccination Among Young Adults in Zurich, Switzerland, September 2020",10.3389/ijph.2021.643486,Frontiers Media,International Journal of Public Health,UNKNOWN,2154,2022,2022-06-09,Winterthur Museum Garden and Library,grid.447630.2
"Cln5 represents a new type of cysteine-based
            <i>S<\/i>
            -depalmitoylase linked to neurodegeneration",10.1126/sciadv.abj8633,American Association for the Advancement of Science,Science Advances,CC-BY-NC,3605.769,2022,2022-03-15,c6b46530-30f9-410a-8192-3aaf59da8241,grid.7400.3
miR-802 regulates Paneth cell function and enterocyte differentiation in the mouse small intestine,10.1038/s41467-021-23298-3,Nature Research,Nature Communications,CC-BY 4.0,5125.339,2022,2022-02-17,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Supraspinal nociceptive networks in neuropathic pain after spinal cord injury.,10.1002/hbm.25401,Wiley Open Access,Human Brain Mapping,UNKNOWN,3239.3,2022,2022-02-10,University of Zurich,grid.7400.3
Quantification of solid fuel combustion and aqueous chemistry contributions to secondary organic aerosol during wintertime haze events in Beijing,10.5194/acp-21-9859-2021,Copernicus Publications,Atmospheric Chemistry and Physics,CC-BY 4.0,2740.187,2022,2022-01-12,D5D66F5B-2A30-44D7-9C75-365E3A8B9F80,NA
Impact of unknown incidental findings in PET\/CT examinations of patients with proven or suspected vascular graft or endograft infections,10.1038/s41598-021-93331-4,Nature Research,Scientific Reports,CC-BY 4.0,2040,2022,2022-04-07,ORG63170,grid.7400.3
Central amygdala micro-circuits mediate fear extinction,10.1038/s41467-021-24068-x,Nature Research,Nature Communications,CC-BY 4.0,5456,2022,2022-10-26,B3CF9892-14C1-483A-8EC7-BB5CA6875B91,grid.482245.d
Impact on Bile Acid Concentrations by Alveolar Echinococcosis and Treatment with Albendazole in Mice,10.3390/metabo11070442,MDPI,Metabolites,CC-BY 4.0,1077,2022,2022-06-23,ORG45610,grid.6612.3
Microbeam Radiotherapy—A Novel Therapeutic Approach to Overcome Radioresistance and Enhance Anti-Tumour Response in Melanoma,10.3390/ijms22147755,MDPI,International Journal of Molecular Sciences,CC-BY 4.0,1830.9,2022,2022-11-23,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
High regional variation in prostate surgery for benign prostatic hyperplasia in Switzerland.,10.1371/journal.pone.0254143,Public Library of Science,PLoS ONE,CC-BY 4.0,1562.644,2022,2022-03-01,"Institute of Veterinary Bacteriology, University of Bern, Bern Switzerland",grid.8756.c
Video Relay Interpreting and Overcoming Barriers in Health Care for Deaf Users: A Scoping Review,10.2196/32439,JMIR Publications,Journal of Medical Internet Research,CC-BY 4.0,2883.676,2022,2022-05-03,ORG1032151,grid.8591.5
Alpha Satellite Insertion Close to an Ancestral Centromeric Region,10.1093/molbev/msab244,Oxford University Press,Molecular Biology and Evolution,CC-BY-NC,2766.174,2022,2022-04-07,ORG20754,grid.9851.5
LOw-dose CT Or Lung UltraSonography versus standard of care based-strategies for the diagnosis of pneumonia in the elderly: protocol for a multicentre randomised controlled trial (OCTOPLUS).,10.1136/bmjopen-2021-055869,BMJ Publishing Group,BMJ Open,UNKNOWN,2289.52,2022,2022-03-29,University of Geneva,grid.8591.5
Neuronal control of maternal provisioning in response to social cues,10.1126/sciadv.abf8782,American Association for the Advancement of Science,Science Advances,CC-BY-NC,4224.35,2022,2022-11-23,ORG45610,grid.6612.3
"ST-2191, an Anellated Bismorpholino Derivative of Oxy-Fingolimod, Shows Selective S1P1 Agonist and Functional Antagonist Potency In Vitro and In Vivo",10.3390/molecules26175134,MDPI,Molecules,CC-BY 4.0,1346.25,2023,2023-05-30,D9E30E7A-4E47-499F-BF51-E7095EA93E66,NA
Step-by-step guide to efficient subtomogram averaging of virus-like particles with Dynamo,10.1371/journal.pbio.3001318,Public Library of Science,PLoS Biology,CC-BY 4.0,3736.5,2022,2022-01-24,ORG45610,grid.6612.3
Characterizing social-ecological context and success factors of antimicrobial resistance interventions across the One Health spectrum: Analysis of 42 interventions targeting E. coli,10.1186/s12879-021-06483-z,BioMed Central,BMC Infectious Diseases,CC-BY 4.0,2344.4,2022,2022-02-10,University of Geneva,grid.8591.5
Hygromechanical mechanisms of wood cell wall revealed by molecular modeling and mixture rule analysis,10.1126/sciadv.abi8919,American Association for the Advancement of Science,Science Advances,CC-BY-NC,3548.07,2022,2022-03-01,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Allosteric modulation of LRRC8 channels by targeting their cytoplasmic domains,10.1038/s41467-021-25742-w,Nature Research,Nature Communications,CC-BY 4.0,5312.54,2022,2022-10-26,ORG63170,grid.7400.3
Forensic mental health professionals'''''''''''''''' perceptions of their dual loyalty conflict: findings from a qualitative study,10.1186/s12910-021-00688-2,BioMed Central,BMC Medical Ethics,CC-BY 4.0,1205.102,2023,2023-09-25,ORG63170,grid.7400.3
"<i>Hapln1b<\/i>, a central organizer of the ECM, modulates kit signaling to control developmental hematopoiesis in zebrafish",10.1182/bloodadvances.2020001524,American Society of Hematology,Blood Advances,CC-BY-NC-ND,2866.973,2022,2022-11-29,ORG1032151,grid.8591.5
"Forty years after Alma-Ata: primary health-care preparedness for chronic diseases in Mozambique, Nepal and Peru.",10.1080/16549716.2021.1975920,Taylor and Francis,Global Health Action,CC-BY 4.0,1202.345,2022,2022-01-12,"Faculty of Medicine, Eduardo Mondlane University: Universidade Eduardo Mondlane",grid.154185.c
Confronting false discoveries in single-cell differential expression,10.1038/s41467-021-25960-2,Nature Research,communications medicine,CC-BY 4.0,5110.307,2022,2022-02-03,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Mining nematode protein secretomes to explain lifestyle and host specificity,10.1371/journal.pntd.0009828,Public Library of Science,PLoS Neglected Tropical Diseases,CC-BY 4.0,2331.631,2022,2022-06-23,ORG63170,grid.7400.3
Sparsification of AP firing in adult-born hippocampal granule cells via voltage-dependent α5-GABAA receptors,10.1016/j.celrep.2021.109768,Cell Press,Cell Reports,UNKNOWN,5276.38,2022,2022-01-12,"Biozentrum, University of Basel",grid.6612.3
Complementary roles of neural synchrony and complexity for indexing consciousness and chances of surviving in acute coma.,10.1016/j.neuroimage.2021.118638,Elsevier,NeuroImage,UNKNOWN,3225.754,2022,2022-01-24,University Hospital of Lausanne,grid.8515.9
"Dopamine, sleep, and neuronal excitability modulate amyloid-ß–mediated forgetting in Drosophila",10.1371/journal.pbio.3001412,Public Library of Science,PLoS Biology,CC-BY 4.0,3743.566,2022,2022-04-07,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
"Lower pelvic tilt, lower pelvic incidence, and increased external rotation of the iliac wing in patients with femoroacetabular impingement due to acetabular retroversion compared to hip dysplasia",10.1302/2633-1462.210.BJO-2021-0069.R1,British Editorial Society of Bone and Joint Surgery,Bone & Joint Open,CC-BY-NC-ND,987.61,2022,2022-04-07,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Association between self-reported motivation to quit smoking with effectiveness of smoking cessation intervention among patients hospitalized for acute coronary syndromes in Switzerland,10.1016/j.pmedr.2021.101583,Elsevier,Preventive Medicine Reports,CC-BY-NC-ND,2103.038,2022,2022-05-23,ORG1032151,grid.8591.5
Use of Herbal Medicines for the Treatment of Mild Mental Disorders and\/or Symptoms During Pregnancy: A Cross-Sectional Survey,10.3389/fphar.2021.729724,Frontiers Media,Frontiers in Pharmacology,CC-BY 4.0,2068.67,2022,2022-05-10,ORG63170,grid.7400.3
Effect of nocturnal oxygen therapy on exercise performance of COPD patients at 2048 m: data from a randomized clinical trial,10.1038/s41598-021-98395-w,Nature Research,Scientific Reports,CC-BY 4.0,1997.96,2022,2022-02-03,EDDC08E1-E667-4BEC-BE52-4B7DB4E67C7C,grid.7400.3
Metabolism of HSAN1- and T2DM-associated 1-deoxy-sphingolipids inhibits the migration of fibroblasts,10.1016/j.jlr.2021.100122,American Society for Biochemistry and Molecular Biology,Journal of Lipid Research,CC-BY 4.0,2544.25,2023,2023-01-30,ORG63170,grid.7400.3
"Classifying Natural Products from Plants, Fungi or Bacteria in the COCONUT Database",10.1186/s13321-021-00559-3,BioMed Central,Journal of Cheminformatics,CC-BY 4.0,1983.45,2022,2022-01-12,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Cancer in HIV-positive and HIV-negative adolescents and young adults in South Africa: a cross-sectional study,10.1136/bmjopen-2020-043941,BMJ Publishing Group,BMJ Open,Unknown,1881.585,2022,2022-02-03,ORG45610,grid.6612.3
Impact of PET\/CT among patients with suspected mycotic aortic aneurysms,10.1371/journal.pone.0258702,Public Library of Science,PLoS ONE,CC-BY 4.0,1660.5,2022,2022-04-07,ORG63170,grid.7400.3
"Is the health-awareness of leaders related to the working conditions, engagement, and exhaustion in their teams? A multi-level mediation study",10.1186/s12889-021-11985-1,BioMed Central,BMC Public Health,CC-BY 4.0,2493.839,2022,2022-03-29,ORG63170,grid.7400.3
Assessing the drivers of syphilis among men who have sex with men in Switzerland reveals a key impact of screening frequency: A modelling study,10.1371/journal.pcbi.1009529,Public Library of Science,PLoS Computational Biology,CC-BY 4.0,2307.55,2022,2022-02-03,ORG63170,grid.7400.3
Psychosocial health and physical activity in people with major depression in the context of COVID-19,10.3389/fspor.2021.685117,Frontiers Media,Frontiers in Sports and Active Living,CC-BY 4.0,1840.198,2023,2023-05-15,ORG45610,grid.6612.3
Asymmetric requirement of Dpp\/BMP morphogen dispersal in the Drosophila wing disc,10.1038/s41467-021-26726-6,Nature Research,communications medicine,CC-BY 4.0,5056.286,2022,2022-01-24,ORG45610,grid.6612.3
ΔFBA-Predicting metabolic flux alterations using genome-scale metabolic models and differential transcriptomic data.,10.1371/journal.pcbi.1009589,Public Library of Science,PLoS Computational Biology,CC-BY 4.0,2317.175,2022,2022-01-12,Bayard Rustin Ed. Complex,NA
Biallelic truncation variants in ATP9A are associated with a novel autosomal recessive neurodevelopmental disorder,10.1038/s41525-021-00255-z,Nature Research,npj Genomic Medicine,CC-BY 4.0,3429,2022,2022-01-12,Lausanne University Hospital and University of Lausanne,grid.9851.5
Game-based training of selective voluntary motor control in children and youth with upper motor neuron lesions: protocol for a multiple baseline design study,10.1186/s12887-021-02983-8,BioMed Central,BMC Pediatrics,CC-BY 4.0,2303.2,2022,2022-02-10,ORG63170,grid.7400.3
"Amyloid-beta–copper interaction studied by simultaneous nitrogen K and copper L2,3-edge soft X-ray absorption spectroscopy",10.1016/j.isci.2021.103465,Cell Press,iScience,CC-BY 4.0,2753.122,2022,2022-09-01,D5D66F5B-2A30-44D7-9C75-365E3A8B9F80,NA
Systematic exploration of Escherichia coli phage–host interactions with the BASEL phage collection,10.1371/journal.pbio.3001424,Public Library of Science,PLoS Biology,CC-BY 4.0,3738.318,2022,2022-03-29,ORG45610,grid.6612.3
Gated Communities: Inter- and Intraspecific Diversity of Endosymbionts Across Four Sympatric Aphid Species,10.3389/fevo.2022.816184,Frontiers Media,Frontiers in Ecology and Evolution,CC-BY 4.0,1141.836,2022,2022-03-01,0396B61E-18C7-4581-B685-25E2F7F2F29E,NA
Structures of prokaryotic ubiquitin-like protein Pup in complex with depupylase Dop reveal the mechanism of catalytic phosphate formation,10.1038/s41467-021-26848-x,Nature Research,Nature Communications,CC-BY 4.0,5279.35,2022,2022-09-15,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
"Media use, attention, mental health and academic performance among 8 to 12 year old children.",10.1371/journal.pone.0259163,Public Library of Science,PLoS ONE,CC-BY 4.0,1686.759,2022,2022-06-23,ORG1032151,grid.8591.5
Influence of warming and atmospheric circulation changes on multidecadal European flood variability,10.5194/cp-2021-160,Copernicus Publications,Climate of the Past,CC-BY 4.0,1682.97,2022,2022-05-10,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Mapping personal geographies in psychosis: from space to place,10.1093/schizbullopen/sgab051,Oxford University Press,Schizophrenia Bulletin Open,CC-BY-NC,1928.774,2022,2022-02-17,Lausanne University Hospital and University of Lausanne,grid.9851.5
Test-retest reliability of regression dynamic causal modeling,10.1162/netn_a_00215,Massachusetts Institute of Technology Press,Network Neuroscience,CC-BY 4.0,1685.285,2022,2022-06-23,ORG63170,grid.7400.3
"Efficient 100-MW, 100-W, 50-fs-class Yb:YAG thin-disk laser oscillator",10.1364/OE.442833,Optica Publishing Group,Optics Express,CC-BY 4.0,1856.2,2022,2022-01-12,5972A289-A8D0-497B-B3C5-8A5F3519F57A,grid.10711.36
A homozygous missense variant in laminin subunit beta 1 as candidate causal mutation of hemifacial microsomia in Romagnola cattle,10.1111/jvim.16316,Wiley Open Access,Journal of Veterinary Internal Medicine,UNKNOWN,2080.5,2022,2022-01-12,University of Bologna,NA
Spectral weight of hole-doped cuprates across the pseudogap critical point,10.1103/PhysRevResearch.3.043125,American Physical Society,Physical Review Research,CC-BY 4.0,2385.6,2023,2023-08-28,ORG1032151,grid.8591.5
Re-charging your fats: Charmm36 parameters for neutral lipids triacylglycerol and diacylglycerol,10.1016/j.bpr.2021.100034,Cell Press,Biophysical Reports,UNKNOWN,1757.985,2022,2022-01-24,"Faculty of Science and Medicine, University of Fribourg",grid.8534.a
Vectored antibody gene delivery restores host B and T cell control of persistent viral infection,10.1016/j.celrep.2021.110061,Cell Press,Cell Reports,UNKNOWN,4636.785,2022,2022-03-01,Geneva College,grid.233134.4
Transcriptional control of mycobacterial DNA damage response by sigma adaptation,10.1126/sciadv.abl406,American Association for the Advancement of Science,Science Advances,CC-BY 4.0,3462.6,2022,2022-09-15,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Descending pain modulatory efficiency in healthy subjects is related to structure and resting connectivity of brain regions,NA,Elsevier,NeuroImage,CC-BY-NC-ND,3349.681,2022,2022-05-03,ORG63170,grid.7400.3
Dynamic 23S rRNA modification ho5C2501 benefits Escherichia coli under oxidative stress.,10.1093/nar/gkab1224,Oxford University Press,Nucleic Acids Research,UNKNOWN,3351.838,2022,2022-02-03,Bayard Rustin Ed. Complex,NA
Longitudinal Changes in Swiss Adolescent's Mental Health Outcomes from before and during the COVID-19 Pandemic.,10.3390/ijerph182312734,MDPI,International Journal of Environmental Research and Public Health,CC-BY 4.0,2229.39,2022,2022-01-12,ORG1065012,grid.410380.e
Electrospun tube reduces adhesion in rabbit Achilles tendon 12 weeks post-surgery without PAR-2 overexpression,10.1038/s41598-021-02780-4,Nature Research,Scientific Reports,CC-BY 4.0,1889.474,2022,2022-01-24,ORG63170,grid.7400.3
Analyzing Patient Trajectories With Artificial Intelligence,10.2196/29812,JMIR Publications,Journal of Medical Internet Research,CC-BY 4.0,2695,2022,2022-02-03,ORG63170,grid.7400.3
High-speed identification of suspended carbon nanotubes using Raman spectroscopy and deep learning,10.1038/s41378-022-00350-w,Springer Nature [academic journals on nature.com],Microsystems & Nanoengineering,CC-BY 4.0,3220.036,2022,2022-01-12,65B332DD-7921-4D4D-8A30-E8CDF81140F1,NA
HSV-1 reactivation is associated with an increased risk of mortality and pneumonia in critically ill COVID-19 patients,10.1186/s13054-021-03843-8,BioMed Central,Critical Care,CC-BY 4.0,2642.85,2022,2022-01-12,University of Geneva,grid.8591.5
Landscape and climatic variations shaped secondary contacts amid barn owls of the Western Palearctic,NA,Oxford University Press,Molecular Biology and Evolution,CC-BY-NC,2843.825,2022,2022-02-03,ORG20754,grid.9851.5
2.5 Hz sample rate time-domain near-infrared optical tomography based on SPAD-camera image tissue hemodynamics.,10.1364/BOE.441061,Optica Publishing Group,Biomedical Optics Express,NA,1587.85,2022,2022-12-07,076BBC30-248F-4090-9273-FEE67717714C,grid.7400.3
The concerted change in the distribution of cell cycle phases and zone composition in germinal centers is regulated by IL-21.,10.1038/s41467-021-27477-0,Nature Research,Nature Communications,CC-BY 4.0,4766.916,2022,2022-01-12,Bayard Rustin Ed. Complex,NA
"Correlates of interpersonal emotion regulation problems in Loss of Control eating (LOC) in youth: study protocol of the combined online and App based questionnaire, laboratory and randomized controlled online intervention i-BEAT trial.",10.1186/s40359-021-00690-8,BioMed Central,BMC Psychology,UNKNOWN,1210.6,2022,2022-05-10,"Clinical Psychology and Psychotherapy, Department of Psychology, University of Fribourg, Rue P.-A.-de-Faucigny 2, 1700, Fribourg, Switzerland.",grid.8534.a
Task-induced modulations of neuronal activity along the auditory pathway,10.1016/j.celrep.2021.110115,Cell Press,Cell Reports,CC-BY-NC-ND,5066.53,2022,2022-10-26,ORG45610,grid.6612.3
Magnetic resonance imaging of cerebrospinal fluid outflow after low-rate lateral ventricle infusion in mice,10.1172/jci.insight.150881,American Society for Clinical Investigation,JCI Insight,CC-BY 4.0,3753.891,2022,2022-01-24,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Impact of vaccination and non-pharmaceutical interventions on SARS-CoV-2 dynamics in Switzerland,10.1016/j.epidem.2021.100535,Elsevier,Epidemics,CC-BY-NC-ND,2352.962,2022,2022-06-23,2EDC5EAA-CF17-439C-8926-3E12EABF9A70,grid.416786.a
Broad attention uncovers benefits of stimulus uniformity in visual crowding,10.1038/s41598-021-03258-z,Nature Research,Scientific Reports,CC-BY 4.0,1930.968,2022,2022-02-10,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Simultaneous estimation of bi-directional causal effects and heritable confounding from GWAS summary statistics,10.1038/s41467-021-26970-w,Nature Research,Nature Communications,CC-BY 4.0,5064.684,2022,2022-01-24,ORG20754,grid.9851.5
"Mindfulness predicts less depression, anxiety, and social impairment in emergency care personnel: A longitudinal study",10.1038/s41598-021-93647-1,Public Library of Science,PLoS ONE,CC-BY 4.0,1564.519,2022,2022-02-03,ORG63170,grid.7400.3
Emergence and function of cortical offset responses in sound termination detection,10.7554/eLife.72240,eLife Sciences Publications,eLife,CC-BY 4.0,2837.8,2022,2022-10-26,ORG45610,grid.6612.3
A new rat model of creatine transporter deficiency reveals behavioral disorder and altered brain metabolism,10.1038/s41598-020-80824-x,Nature Research,Scientific Reports,CC-BY 4.0,1859.13,2022,2022-11-29,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Chromosomal Fusions Facilitate Adaptation to Divergent Environments in Threespine Stickleback,10.1093/molbev/msab358,Oxford University Press,Molecular Biology and Evolution,CC-BY 4.0,2843.825,2022,2022-02-03,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Quantum cascade laser absorption spectrometer with a low temperature multipass cell for precision clumped CO<sub>2<\/sub> measurement,10.1364/oe.447172,Optica Publishing Group,Optics Express,UNKNOWN,1844.9,2022,2022-01-24,65B332DD-7921-4D4D-8A30-E8CDF81140F1,NA
miR-579-3p Controls Hepatocellular Carcinoma Formation by Regulating the Phosphoinositide 3-Kinase–Protein Kinase B Pathway in Chronically Inflamed Liver,10.1002/hep4.1894,"Lippincott, Williams & Wilkins",Hepatology Communications,NA,2542.747,2022,2022-02-03,6A55AC3D-1E99-42FC-9D66-3EF301A00859,grid.6612.3
S-acylation by ZDHHC20 targets ORAI1 channels to lipid rafts for efficient Ca2+ signaling by Jurkat T cell receptors at the immune synapse.,10.7554/elife.72051,eLife Sciences Publications,eLife,CC-BY 4.0,3044.25,2022,2022-02-03,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Intraperitoneal microbial contamination drives post-surgical peritoneal adhesions by mesothelial EGFR-signaling,10.1038/s41467-021-27612-x,Nature Research,Nature Communications,CC-BY 4.0,5164.85,2022,2022-02-03,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
GPS-based fine-scale mapping surveys for schistosomiasis assessment: a practical introduction and documentation of field implementation,10.1186/s40249-021-00928-y,BioMed Central,Infectious Diseases of Poverty,CC-BY 4.0,1837.841,2022,2022-01-12,ORG45610,grid.6612.3
Challenges in providing ethically competent health care to incarcerated older adults with mental illness: a qualitative study exploring mental health professionals’ perspectives in Canada,10.1186/s12877-021-02687-9,BioMed Central,BMC Geriatrics,CC-BY 4.0,2393.214,2022,2022-03-15,ORG45610,grid.6612.3
Pseudomonas aeruginosa rhamnolipid micelles deliver toxic metabolites and antibiotics into Staphylococcus aureus.,10.1016/j.isci.2021.103669,Cell Press,iScience,UNKNOWN,2946.648,2022,2022-01-12,ORG1032151,grid.8591.5
"Associations Between High Plasma Methylxanthine Levels, Sleep Disorders and Polygenic Risk Scores of Caffeine Consumption or Sleep Duration in a Swiss Psychiatric Cohort",10.3389/fpsyt.2021.756403,Frontiers Media,Frontiers in Psychiatry,CC-BY 4.0,2958.24,2022,2022-05-10,3B01C38F-53EF-444F-BE6C-D8DADD4209F4,NA
